,id,name,lat,lng
143,576e0798498e68bc8cba3db5,korean j grill,14.63104517866391,121.03448071898482
144,572b43da498e968ae299d339,don day fresh korean bbq & resto,14.615778,121.045445
145,55b4c535498eb61da66270dc,sodam korean grill,14.632086439496454,121.03516461455152
146,5d6babda3b14a00007ede052,songdowon premium korean meat grill house,14.638531,121.038912
147,4c98c604b6ee236a7ee5aaa7,silla korean restaurant,14.63497201595021,121.03541918447357
148,5311c16211d25a8a1e098cd0,don the grill korean bistro,14.634382498893778,121.0337088156034
149,5de278ac573d7b00084fd888,ccyg korean restaurant,14.63592,121.035025
150,59fe9a458b98fd4a2ddc9b16,myeong dong korean chicken bbq,14.610457,121.036848
151,55c4b7e1498eeeeaac94a170,banchan korean convenient store,14.60991274096103,121.03716350986322
152,5a81a35f3b4e005bdc98b270,bok um box korean fast food,14.619621,121.05464
153,50f387bfe4b0462a686e8360,waroro korean restaurant,14.610838738361085,121.03150828615236
154,5be83e79a8eb60002c2ce485,pink bird korean food,14.637511,121.032104
155,4d858617d5fab60cb91efa9b,chonha jangsa (천하장사) korean restaurant,14.63750557,121.03151397
156,4e7489b9b993a71aa3467e39,yawori korean restaurant,14.636642402066572,121.02991805668243
157,54c39ad8498e0337aec3d2c3,korean king rice burger,14.622347247135801,121.05679511460308
158,555f014d498ee65280196072,nowana u&i korean buffet,14.637592827611009,121.03122271831953
159,5919a2d1a9e40239b367b04e,ummason kimchi korean restaurant,14.635484,121.027934
160,587b13b6286804584ae1a8a3,matzzip korean restaurant,14.636327,121.028378
161,5b9a3c86829b0c002c6e8a96,oh my korean grill and chimaek,14.639936,121.035156
162,5bd2f6e5446ea6003ad61905,unlimited korean grill samgyeopsal,14.636709,121.028041
163,52344e21498e6984e4763f5b,hanayo grill,14.62954286293645,121.03447704679346
164,54433f9d498e142831a894fd,mr. kimbob,14.622413626897615,121.05288662366154
165,5ce7dbc186f4cc00368fe719,pal 8 danji,14.62194,121.054142
167,5bcb20fb67f62b002cc9f67a,romantic baboy,14.633129731746106,121.04379948395699
168,5a644e40ea1e443f6b7b670d,romantic baboy,14.633889669573039,121.03511446608361
169,5c5be83f491be7002c8cf777,romantic baboy,14.619605,121.05641
170,60029e7cbde80c7821ac1d8b,golden baboy,14.620511,121.055917
197,4e4a590318387418d6ecbe98,1970 grill yakiniku restaurant,14.632653221671113,121.03534540262764
198,57dcf3a1498ed681d0ae6e38,arirang restaurant,14.63285,121.03422
199,59ac0a365a2c9117f39be065,woorirang restaurant,14.6328911214321,121.03421586587712
200,57dcf32dcd104981aba705fa,arirang restaurant,14.632878,121.03411
201,59eac0ad35d3fc5b7fd37dd0,muhan unlimited samgyupsal,14.6063276614822,120.98971635818982
202,5b0948de59c423002cb02717,wang pau samgyupsal,14.61074550504825,120.98658187665625
203,5cf1fdd2dbde110025aad10c,mixies samgyupsal,14.603764,120.990059
204,5a4d924aa0215b4eada6fcbe,wang pau samgyupsal,14.599407,120.989893
205,5e42b94300840c0008bd2730,flex gourmet unlimited samgyupsal,14.598968,120.99035
206,5cac7585a2a6ce00391e94bc,the pig boss unlimited samgyupsal,14.617352,121.004215
207,5a09777e9ef8ef67b1937ad0,samgyupsalamat,14.60849816585454,120.99329739320277
208,5e4185851c6a1c0008672f2b,samgyupsalamat fusebox ust,14.612193,120.987272
209,5a9aba824940bc2ab2910e8e,samgyupsalamat,14.612375212900984,120.98724944695047
210,5f40ed70b2432c4033443faa,duo unlimited korean bbq,14.613706,120.997553
